Şirket Adı;Şirketin Kodu;Periyot;Yıl;Dönen Varlıklar;Duran Varlıklar;Toplam Varlıklar;Kısa Vadeli Yükümlülükler;Uzun Vadeli Yükümlülükler;Toplam Yükümlülükler;Toplam Özkaynaklar;Ana Ortaklığa Ait Özkaynaklar;Kontrol Gücü Olmayan Kaynaklar;Toplam Kaynaklar;Cari Oran;Dönen Varlıklar / Aktif (%);Asit Test Oranı;Nakit Oranı;Aktif Karlılık (%);Faaliyet Kar Marjı;Esas Faaliyet Kar Marjı;Brüt Kar Marjı (%);FAVÖK Marjı (%);Net Kar Marjı;Özsermaye Karlılığı (%);VAFÖK Marjı;ROCE Oranı;Finansman Gider / Net Satış;Borç Kaynak Oranı;Duran Varlıklar / Aktif ;Duran Varlıklar / Maddi Özkaynak;Esas Faaliyet Karı / Kısa Vadeli Borç;FAVÖK / Kısa Vade Borç;Net Borç / FAVÖK;Kısa Vade Borç / Aktif;Kısa Vade Borç / Dönen Varlık;Kısa Vade Borç / Özsermaye;Kısa Vade Borç / Toplam Borç;Net Satışlar / Kısa Vade Borç;Özsermaye / Aktif;Özsermaye / Maddi Duran Varlıklar;Toplam Borç / Özsermaye;Aktif Devir Hızı;Alacak Devir Hızı;Dönen Varlıklar Devir Hızı;Ticari Borçlar Devir Hızı;Finansal Kaldıraç;Stok Devir Hızı;Altman Z-Skoru;Springate Skoru;Zmijewski Skoru;L Model Skoru;Görüs Tipi
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;Yıllık;2020;452463975;15063837;467527812;325928352;2806817;328735169;138792643;138792643;0;467527812;1.388.231.408;9.677.798.056;1.332.762.085;0.05105346;1.565.031.558;3.254.872.825;2.527.070.184;4.540.498.312;3.254.872.825;2.245.586.189;5.271.862.861;3.254.872.825;2.268.440.514;-0.004312653;2.368.534.541;3.222.019.442;0.108976231;0.252636435;0.325396371;309.964.047;0.697131472;0.720341;2.348.311.445;0.991461768;9.997.206.917;0.296864998;6.737.248.572;2.368.534.541;6.969.367.579;8.438.763.648;0.138861926;2.418.961.913;7.031.350.019;0;8.473.300.005;388.876.487;-1.001.947.616;-0.392848905;Şartlı
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;9 Aylık;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;6 Aylık;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Şartlı
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;6 Aylık;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Olumlu
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;3 Aylık;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;Yıllık;2021;851508753;42045725;893554478;588233083;8695590;596928673;296625805;296625805;0;893554478;1.447.570.321;9.529.455.383;1.445.552.829;0.235648995;1.206.946.422;3.153.727.523;2.694.988.284;4.248.258.998;3.153.727.523;1.689.341.109;3.635.800.938;3.153.727.523;2.253.174.406;-0.00929645;2.012.396.302;4.705.446.174;0.143676485;0.292481979;0.34226808;2.964.876.415;0.658306905;0.690812726;1.983.081.287;0.985432782;1.085.281.077;0.331961634;1.088.742.984;2.012.396.302;7.144.480.267;9.714.846.974;0.133382066;1.850.177.726;6.680.383.655;0;8.642.935.876;3.843.520.478;-1.041.097.488;-0.365670755;Olumlu
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;9 Aylık;2021;617856321;40106176;657962497;386851900;4918847;391770747;266191750;266191750;0;657962497;1.597.139.166;9.390.448.906;1.589.076.166;0.074947405;1.176.559.201;3.690.857.358;3.162.213.906;4.979.704.237;3.690.857.358;2.029.165.796;2.908.173.638;3.690.857.358;2.140.047.991;-0.010629701;1.471.761.416;6.095.510.942;0.151145511;0.311848674;0.36398201;2.782.321.758;0.587954331;0.626119515;1.453.282.831;0.987444578;9.861.719.767;0.404569791;1.045.441.101;1.471.761.416;5.798.240.852;6.850.273.346;0.161953412;1.728.321.786;5.954.302.088;0;7.492.067.567;3.354.839.829;-1.441.888.007;-0.342536854;
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;6 Aylık;2021;557284135;37823261;595107396;355452425;4488809;359941234;235166162;235166162;0;595107396;1.567.816.382;936.442.966;1.559.499.041;0.12723083;7.794.827.507;2.913.218.846;2.386.913.765;4.001.040.803;2.913.218.846;157.864.772;197.254.548;2.913.218.846;143.844.875;-0.009218072;1.530.582.593;63.557.034;0.161461072;0.19732035;0.24082871;4.204.766.276;0.597291224;0.637829794;1.511.494.774;0.98752905;826.675.656;0.395165921;1.055.393.617;1.530.582.593;4.937.661.144;6.143.273.096;0.189653145;1.316.761.064;6.048.340.794;0;6.379.479.867;2.762.267.341;-1.209.484.251;-0.358830555;Olumlu
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;3 Aylık;2021;536939948;14948454;551888402;388900590;2968732;391869322;160019080;160019080;0;551888402;1.380.661.181;9.729.139.914;1.373.673.864;0.058406185;3.848.697.114;1.930.033.023;1.481.458.716;2.651.658.516;1.930.033.023;1.026.762.172;1.327.373.773;1.930.033.023;7.234.501.551;-0.007041575;2.448.891.232;2.708.600.859;0.09374505;0.078803606;0.102664732;9.814.798.413;0.704672518;0.724290661;243.033.887;0.992424179;531.932.517;0.289948257;6.674.071.779;2.448.891.232;3.748.382.263;4.190.048.737;0.259555702;9.693.196.364;7.100.517.434;0;4.744.272.257;1.974.331.727;-0.431419077;-0.421098421;
A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.;A1CAP;Yıllık;2022;4019261420;179195690;4198457110;2578328327;132279622;2710607949;1487849161;1487849161;0;4198457110;1.558.863.306;9.573.186.803;1.558.125.687;0.233439631;1.555.262.204;5.479.872.411;5.088.329.438;6.265.281.098;5.479.872.411;2.183.498.962;4.388.685.245;5.479.872.411;3.903.202.427;-0.025062509;1.821.829.806;4.268.131.966;0.120861245;0.590170301;0.635583444;1.654.077.719;0.614113294;0.641493065;1.732.923.199;0.951199279;1.159.850.807;0.354379983;1.484.294.484;1.821.829.806;7.122.798.003;1.118.042.447;0.134402054;2.572.200.982;6.456.200.166;0;890.350.887;4.110.203.654;-1.326.069.351;-0.358487781;Olumlu
